Bank,Model,Training_Time_Sec,MAE,RMSE,MAPE,R2
All (mean of 3 banks),ARIMA,3356.84348487854,5.29426536754818,7.604008941571337,1.3591570504775419,0.994998512642088
Lloyds,ARIMA,2060.441726922989,0.9711788417155972,1.3648172865046306,1.2212997355809725,0.9951274655563266
Barclays,ARIMA,77.56239104270935,5.039426068498646,6.871114687358878,1.4682214436014298,0.9951564820094128
Goldman Sachs,ARIMA,1218.8393669128418,9.872191192430297,14.576094850850502,1.387949972250223,0.9947115903605246
All (pooled),Random Forest,1079.7249438762665,257.5286497952536,651.2183855570654,1.946695025232669,0.9993745881163169
Goldman Sachs,Random Forest,,770.117711165102,1131.466136162933,1.43852216100615,0.9936738761326068
Lloyds,Random Forest,,2.1448747079228214,2.4325759435009147,2.894724388683581,0.9844999510968736
Barclays,Random Forest,,5.124605560328082,7.035314633438433,1.5008949251827508,0.9949042166556614
All (pooled),LSTM,2424.6923127174377,1127.7643815226163,2529.506006046108,3.6266017205052825,0.9905407825769906
Barclays,LSTM,,12.862413960118449,16.892996529707585,3.310844059226583,0.9707234492926528
Goldman Sachs,LSTM,,3380.274866082523,4388.669831327296,5.665277319348044,0.9054773362859008
Lloyds,LSTM,,1.628753241132597,2.188866476413206,1.9140675296246308,0.9874673062179058
