Bank,Model,RMSE,MAE,MAPE
Barclays,CNN-LSTM,8.835705490727216,6.734347237481013,1.8713569146451
Barclays,GRU,16.77335193402959,12.526305834452316,3.2326436598980948
Barclays,BiLSTM,19.008092975658688,13.642331900420016,3.4228902042978175
Barclays,XGBoost,101.88239208578277,76.41903707864401,18.588935535312004
Goldman Sachs,CNN-LSTM,77.55701475011382,60.34084750217517,7.544270693656724
Goldman Sachs,GRU,127.88693012348948,103.70545446125925,13.162970265540464
Goldman Sachs,BiLSTM,138.97574297809246,114.23618325501197,14.557634580415884
Goldman Sachs,XGBoost,369.5962532852664,336.1427077534043,45.05537445840034
Lloyds,GRU,1.6609554870584962,1.1743968937193274,1.446538297603078
Lloyds,BiLSTM,2.017553303167459,1.5082313149960984,1.8421577796676165
Lloyds,CNN-LSTM,2.1245252145050997,1.5529425358937468,1.8886008016589053
Lloyds,XGBoost,6.723703643681179,3.83737687399221,3.96794530223338
